Position,Artist,Song,Streams
5739,Nicky Jam ,El Amante,1551135
5740,Morgan Wallen ,Country A$$ Shit,1550043
5741,SZA ,Tread Carefully,1548627
5742,Agust D ,Daechwita,1546767
5743,Chance the Rapper ,Let's Go On The Run,1546484
5744,G,Eazy  Of All Things,1546448
5745,Migos ,One Time,1546390
5746,Morgan Wallen ,Somethin’ Country,1546321
5747,Miguel ,Pineapple Skies,1546261
5748,Machine Gun Kelly ,jawbreaker,1546045
5749,Dreamville ,Swivel,1545860
5750,Wale ,The Matrimony,1545547
5751,Future ,Promise U That,1545287
5752,Charli XCX ,Boys,1545259
5753,Sam Smith ,The Thrill Of It All,1545247
5754,Trans,Siberian Orchestra  Christmas Eve / Sarajevo 12/24  Instrumental,1545098
5755,Adele ,Turning Tables,1544392
5756,Tame Impala ,Is It True,1543710
5757,Young Thug ,Light It Up,1542676
5758,Jonas Brothers ,Strangers,1542465
5759,Brent Faiyaz ,JACKIE BROWN,1541542
5760,Taylor Swift ,The Other Side Of The Door (Taylor’s Version),1541502
5761,Mike Dimes ,HOME,1537483
5762,Sam Smith ,Scars,1537230
5763,Lana Del Rey ,13 Beaches,1536663
5764,Lil Baby ,Up The Side,1535041
5765,Luke Combs ,Reasons,1534831
5766,Chris Brown ,Fine By Me,1534673
5767,BTS ,Love Maze,1534138
5768,YoungBoy Never Broke Again ,Umm Hmm,1533686
5769,The Beatles ,Let It Be  Remastered,1533633
5770,Playboi Carti ,Teen X,1532501
5771,Jason Aldean ,Any Ol' Barstool,1531525
5772,Baby Tate ,I Am,1530789
5773,Rod Wave ,Break My Heart,1528904
5774,ScHoolboy Q ,5200,1528696
5775,The Weeknd ,Where You Belong,1528203
5776,Camila Cabello ,Consequences,1527687
5777,Lil Nas X ,Kick It,1527276
5778,Mumford & Sons ,Wilder Mind,1526675
5779,Jonas Brothers ,Comeback,1526628
5780,Pentatonix ,That's Christmas to Me,1526397
5781,Gunna ,MET GALA,1525937
5782,Gunna ,ARGENTINA,1525189
5783,Imagine Dragons ,I Don’t Know Why,1524404
5784,Logic ,Open Mic\\Aquarius III,1524137
5785,Eminem ,Offended,1523947
5786,YoungBoy Never Broke Again ,All In,1521197
5787,Vince Staples ,Big Fish,1520925
5788,Johnny Mathis ,When a Child Is Born,1519437
5789,Tory Lanez ,DrIP DrIp Drip,1518448
5790,Bryson Tiller ,Get Mine,1518152
5791,Future ,Harlem Shake,1517383
5792,The Jackson 5 ,I Want You Back,1516642
5793,BTS ,134340,1515100
5794,Isabel LaRosa ,i'm yours,1514589
5795,Moneybagg Yo ,Hard For The Next,1514060
5796,Lana Del Rey ,Dealer,1513302
5797,Pop Smoke ,Manslaughter,1512877
5798,Big Sean ,Overtime,1510687
5799,Ariana Grande ,Beauty and the Beast,1510135
5800,Machine Gun Kelly ,god save me,1510120
5801,Dreamville ,1993,1509230
5802,Logic ,Young Jesus,1508818
5803,Future ,Photo Copied,1507386
5804,Alesso ,When I’m Gone,1506441
5805,Moneybagg Yo ,Blow,1505760
5806,Khalid ,Skyline,1505332
5807,Young M.A ,BIG,1505058
5808,KONGOS ,Come with Me Now,1503848
5809,Jidenna ,Classic Man  Remix,1503237
5810,Meek Mill ,Bad for You,1499514
5811,Luke Combs ,Moon Over Mexico,1499260
5812,Drake ,4pm in Calabasas,1498265
5813,Migos ,Type Shit,1498203
5814,Young Thug ,Lil Baby,1498140
5815,Dreamville ,Don't Hit Me Right Now,1497668
5816,Lady Gaga ,Sine From Above,1496705
5817,Kaash Paige ,Love Songs,1493356
5818,J Balvin ,Sigue,1492771
5819,John Mellencamp ,Jack & Diane,1491217
5820,Meek Mill ,On the Regular,1491013
5821,Drake ,Days in The East,1490175
5822,Kelly Clarkson ,Under The Mistletoe  Bonus Track,1488034
5823,Taylor Swift ,Superstar (Taylor’s Version),1487939
5824,BTS ,Outro : Ego,1487446
5825,Porter Robinson ,Everything Goes On,1487328
5826,Bryson Tiller ,Inhale,1487294
5827,Khalid ,9.13,1486200
5828,Florida Georgia Line ,I Love My Country,1482840
5829,Little Big Town ,Better Man,1482743
5830,Swae Lee ,Reality Check,1481337
5831,DJ Khaled ,KEEP GOING,1480947
5832,Nigo ,Arya,1480878
5833,Rihanna ,Born Again,1480081
5834,One Direction ,No Control,1479874
5835,Jonas Brothers ,Happy When I'm Sad,1479745
5836,Gucci Mane ,1st Day Out Tha Feds,1478953
5837,Eminem ,Framed,1478936
5838,YFN Lucci ,Key to the Streets,1478821
5839,Lady Gaga ,Chromatica II,1478801
5840,6LACK ,Nonchalant,1478557
5841,BTS ,Magic Shop,1478287
5842,Twenty One Pilots ,The Outside,1477871
5843,Young Thug ,Cruise Ship,1477620
5844,CORPSE ,POLTERGEIST!,1477314
5845,mazie ,dumb dumb,1476765
5846,John Carpenter ,Halloween Theme  Main Title,1476469
5847,Belly ,What You Want,1476187
5848,Gunna ,Who You Foolin,1475348
5849,David Guetta ,Yesterday,1474887
5850,Michael Bublé ,Blue Christmas,1474818
5851,Don Toliver ,5X,1473841
5852,YoungBoy Never Broke Again ,Flossin (Bonus),1473586
5853,Surfaces ,Wave of You,1472841
5854,Beyoncé ,Daddy Lessons,1471877
5855,DRAM ,Ill Nana,1471408
5856,Lil Baby ,Same Thing,1470545
5857,Ella Fitzgerald ,What Are You Doing New Year's Eve?,1470359
5858,Lil Skies ,Flooded,1469798
5859,Rod Wave ,Stone Rolling,1469347
5860,Quality Control ,My Dawg,1468643
5861,Likybo ,Kraazy,1468307
5862,Gunna ,NASTY GIRL / ON CAMERA,1467935
5863,A Thousand Horses ,Smoke,1467142
5864,Kacey Musgraves ,good wife,1466965
5865,Machine Gun Kelly ,die in california,1466886
5866,Beyoncé ,All Night,1466739
5867,Meek Mill ,I Got the Juice,1465747
5868,Rich The Kid ,Like Mike,1464726
5869,Migos ,Made Men,1463851
5870,Melanie Martinez ,Nurse's Office,1463314
5871,Miley Cyrus ,Younger Now,1462785
5872,Jason Mraz ,I'm Yours,1462730
5873,Future ,Poppin' Tags,1461776
5874,Trippie Redd ,Leray,1461259
5875,J Balvin ,UN PESO,1460445
5876,A Boogie Wit da Hoodie ,Love Drugs and Sex,1460294
5877,Lil Wayne ,Funeral,1459482
5878,Jonas Brothers ,Trust,1459316
5879,Kid Ink ,Hotel,1458532
5880,Logic ,Like Woah,1458336
5881,Future ,Hard To Choose One,1456821
5882,Ed Sheeran ,First Times,1455966
5883,Kendrick Lamar ,Mortal Man,1455813
5884,Isaiah Rashad ,RIP Young,1455261
5885,BTS ,Intro: Singularity,1454942
5886,Frank Ocean ,Cayendo (Side A  Acoustic),1454789
5887,Dierks Bentley ,Beers On Me,1454782
5888,2 Chainz ,Trap Check,1453577
5889,Summer Walker ,You Don’t Know Me,1453470
5890,Fall Out Boy ,"Sugar, We're Goin Down",1452048
5891,Lil Tecca ,"Left, Right",1451725
5892,Lil Wayne ,Dreams,1451516
5893,Post Malone ,"New Recording 12, Jan 3, 2020",1451281
5894,Playboi Carti ,Stop Breathing,1448060
5895,The Kid LAROI ,OVER YOU,1447929
5896,XXXTENTACION ,Introduction (instructions),1446841
5897,Drake ,5 Am in Toronto,1445111
5898,Lil Yachty ,Minnesota,1442600
5899,A$AP Ferg ,Work REMIX,1442097
5900,London On Da Track ,No Flag,1441294
5901,Dreamville ,Got Me,1439834
5902,Bruno Mars ,Love's Train,1439636
5903,Ed Sheeran ,2step,1439075
5904,TWENTY88 ,Déjà vu,1439069
5905,Hunter Hayes ,Where It All Begins,1438623
5906,Future ,CUDDLE MY WRIST,1436270
5907,Meek Mill ,Classic,1434867
5908,John Mayer ,Carry Me Away,1434094
5909,Trippie Redd ,Finish Line,1433366
5910,Big Sean ,Why Would I Stop?,1432751
5911,Luke Combs ,Blue Collar Boys,1432504
5912,Imagine Dragons ,Machine,1431448
5913,Bad Bunny ,Caro,1430701
5914,John Legend ,What Christmas Means to Me,1429666
5915,Rex Orange County ,Pluto Projector,1428466
5916,Eminem ,Castle,1425833
5917,Jon Bellion ,Luxury,1423994
5918,Rich The Kid ,4 Phones,1423265
5919,Taylor Swift ,Wildest Dreams,1422096
5920,blink,182  She's Out Of Her Mind,1421812
5921,Post Malone ,Patient,1421750
5922,Trippie Redd ,Never Change,1419959
5923,Megan Thee Stallion ,Shots Fired,1418792
5924,Daft Punk ,One More Time,1418501
5925,Future ,Different,1418180
5926,IVE ,After LIKE,1413975
5927,DJ Khaled ,PARTY,1410514
5928,Panic! At The Disco ,The Overpass,1409862
5929,A$AP Rocky ,JD,1408509
5930,Drake ,Club Paradise,1407560
5931,Kinneret ,No Wind Resistance!,1406684
5932,Jessie Ware ,Say You Love Me,1406247
5933,Lee Greenwood ,God Bless The U.S.A.,1405004
5934,Lil Yachty ,OOPS,1403765
5935,Kanye West ,Siiiiiiiiilver Surffffeeeeer Intermission,1402197
5936,Kid Cudi ,Leader Of The Delinquents,1401277
5937,PinkPantheress ,Break It Off,1400448
5938,Future ,I Serve the Base,1399804
5939,Wiz Khalifa ,Burn Slow,1399297
5940,Kacey Musgraves ,starcrossed,1398785
5941,Kacey Musgraves ,cherry blossom,1398666
5942,Thomas Rhett ,Country Again,1398265
5943,Nicki Minaj ,Thought I Knew You,1398231
5944,Trippie Redd ,Real Feel,1397694
5945,GoldLink ,Crew REMIX,1397065
5946,The 1975 ,Give Yourself A Try,1394894
5947,JIN ,The Astronaut,1392323
5948,"Tyler, The Creator ",Glitter,1390671
5949,Lady Gaga ,Babylon,1390518
5950,Khalid ,Shot Down,1389923
5951,Brent Faiyaz ,VILLAIN'S THEME,1386304
5952,Wiz Khalifa ,Letterman,1386197
5953,YoungBoy Never Broke Again ,Life Support,1385822
5954,Lil Skies ,Blue Strips,1385645
5955,Summer Walker ,Toxic,1384800
5956,Lana Del Rey ,Cherry,1381074
5957,Taylor Swift ,This Is Why We Can’t Have Nice Things,1380784
5958,Wiz Khalifa ,Hot Now,1380527
5959,Pop Smoke ,Brush Em,1379527
5960,Lil Tecca ,Faster,1378980
5961,Lil Baby ,We Should,1378278
5962,Gunna ,you & me,1377459
5963,A$AP Rocky ,Wild for the Night,1376990
5964,"Tyler, The Creator ",Sometimes...,1376849
5965,Little Big Town ,"Wine, Beer, Whiskey",1376749
5966,Gucci Mane ,Cold Shoulder,1375116
5967,Quinn XCII ,Stay Next To Me,1374762
5968,Chris Stapleton ,Either Way,1374206
5969,blackbear ,make daddy proud,1374046
5970,Panic! At The Disco ,Old Fashioned,1372521
5971,Noah Kahan ,Northern Attitude,1372064
5972,Future ,Feds Did a Sweep,1371678
5973,Future ,Damage,1371479
5974,The Beatles ,Come Together  Remastered 2009,1371034
5975,John Mayer ,XO,1371008
5976,Anuel AA ,El Manual,1369387
5977,Gucci Mane ,Enormous,1368647
5978,The Kid LAROI ,PIKACHU,1367197
5979,Nelly Furtado ,Maneater,1364190
5980,Morgan Wallen ,Heartless  Wallen Album Mix,1364090
5981,Kim Cesarion ,Undressed,1363464
5982,Baby Keem ,lost souls,1363271
5983,Brantley Gilbert ,The Weekend,1363141
5984,Miley Cyrus ,WTF Do I Know,1362486
5985,Young Stoner Life ,Paid the Fine,1362463
5986,Young Thug ,With Them,1362133
5987,Bing Crosby ,Adeste Fideles,1362092
5988,Moneybagg Yo ,Switches & Dracs,1361008
5989,Twenty One Pilots ,The Judge,1361007
5990,Justin Bieber ,At Least For Now,1360559
5991,Rauw Alejandro ,PUNTO 40,1360333
5992,Eslabon Armado ,SI SUPIERAS,1360209
5993,Radiohead ,Burn the Witch,1359808
5994,Flo Rida ,Once In A Lifetime,1358571
5995,Lil Wayne ,Know You Know (ft. 2 Chainz),1358186
5996,XXXTENTACION ,Gassed Up!,1357202
5997,Ty Dolla $ign ,Don't Judge Me,1357193
5998,BTS ,Go Go,1356962
5999,Nina Nesbitt ,"Oh Holy Night  Recorded at Metropolis Studios, London",1355522
6000,Brett Young ,Like I Loved You,1355153
6001,Lil Tecca ,When You Down,1354956
6002,Sam Smith ,Leave Your Lover,1354930
6003,YoungBoy Never Broke Again ,Bring The Hook,1354867
6004,Childish Gambino ,Algorhythm,1354354
6005,Kehlani ,Change Your Life,1353706
6006,Future ,HiTek Tek,1353659
6007,Justin Bieber ,MLK Interlude,1353141
6008,Gunna ,Wit It,1352984
6009,Eminem ,In Your Head,1348416
6010,One Direction ,Fireproof,1348247
6011,NF ,My Stress,1347546
6012,Drake ,Headlines,1347337
6013,Young Thug ,It's A Slime,1347258
6014,Selena Gomez ,A Sweeter Place,1346217
6015,Lana Del Rey ,California,1345889
6016,The 1975 ,Love It If We Made It,1345526
6017,Wizkid ,Essence,1345318
6018,Beyoncé ,Sorry  Original Demo,1344345
6019,Machine Gun Kelly ,play this when i'm gone,1344050
6020,Travis Scott ,Nightcrawler,1343707
6021,Tee Grizzley ,Young Grizzley World,1343272
6022,Thomas Rhett ,What’s Your Country Song,1342466
6023,Beyoncé ,SPIRIT,1341986
6024,Chase Rice ,Lonely If You Are,1341872
6025,DJ Khaled ,IT AIN'T SAFE,1341380
6026,Lorde ,The Path,1340488
6027,Childish Gambino ,Terrified,1338563
6028,Bruno Mars ,Straight Up & Down,1337036
6029,Fifth Harmony ,The Life,1336784
6030,John Legend ,Bring Me Love,1335686
6031,Future ,Please Tell Me,1335366
6032,NAV ,Freshman List,1334941
6033,Mark Ronson ,Uptown Funk  Trinidad James Remix,1333880
6034,Eminem ,Arose,1333717
6035,6LACK ,Unfair,1331833
6036,21 Savage ,pad lock,1331279
6037,Joni Mitchell ,River,1330005
6038,Anuel AA ,Así Soy Yo,1329957
6039,Cobra Starship ,Never Been In Love,1328923
6040,Beyoncé ,Freedom,1328745
6041,Priory ,Weekend,1328201
6042,Future ,Three,1326646
6043,Taylor Swift ,Dress,1326554
6044,Ariana Grande ,Moonlight,1326130
6045,Eslabon Armado ,Dame Tu Calor,1325998
6046,Summer Walker ,Circus,1325522
6047,A$AP Rocky ,Lost and Found Freestyle 2019,1324950
6048,Taylor Swift ,New Year’s Day,1324496
6049,Andy Grammer ,"Don't Give Up On Me  (From ""Five Feet Apart"")",1324427
6050,Tame Impala ,Tomorrow's Dust,1324154
6051,Juicy J ,Neighbor,1323176
6052,Linkin Park ,One Step Closer,1321091
6053,Twenty One Pilots ,Leave The City,1320131
6054,Polo G ,I Know,1320081
6055,Paramore ,Told You So,1320042
6056,Lil Tecca ,MONEY ON ME,1318702
6057,Megan Thee Stallion ,Ungrateful,1317478
6058,Megan Thee Stallion ,Do It On The Tip,1317062
6059,Train ,Shake up Christmas,1316621
6060,John Mayer ,Moving On and Getting Over,1313482
6061,Lovejoy ,Taunt,1313243
6062,Taylor Swift ,King Of My Heart,1312488
6063,Rich The Kid ,Stuck Together,1311607
6064,Sech ,Te Acuerdas,1311224
6065,Ariana Grande ,Just Look Up (From Don’t Look Up),1310138
6066,Nicki Minaj ,Pills N Potions,1308996
6067,Sadie Jean ,WYD Now?,1307357
6068,Nas ,everything,1306915
6069,Lewis Capaldi ,Forget Me,1305832
6070,Rex Orange County ,Face To Face,1304505
6071,Gunna ,flooded,1303714
6072,John Mayer ,Shouldn't Matter but It Does,1302956
6073,Doja Cat ,Celebrity Skin,1301517
6074,Dustin Lynch ,I'd Be Jealous Too,1300734
6075,Frank Ocean ,Self Control,1299832
6076,Young Thug ,On The Run,1298531
6077,Machine Gun Kelly ,born with horns,1298323
6078,Future ,WHEN I THINK ABOUT IT,1297445
6079,Pyotr Ilyich Tchaikovsky ,"The Nutcracker, Op. 71: Act II Tableau 3: Variation 2: Dance of the SugarPlum Fairy",1297070
6080,Colbie Caillat ,Try,1295843
6081,YoungBoy Never Broke Again ,Vette Motors,1295615
6082,PnB Rock ,Lovin',1293472
6083,Only The Family ,Hellcats & Trackhawks,1292712
6084,ScHoolboy Q ,Gang Gang,1292270
6085,21 Savage ,good day,1291981
6086,Lady Gaga ,Chromatica I,1290980
6087,Young Thug ,Gangster Shit,1290650
6088,Ski Mask The Slump God ,ADMIT IT,1290547
6089,John Mayer ,Wild Blue,1289742
6090,Pooh Shiesty ,Switch it Up,1289721
6091,Russ ,GUESS WHAT,1289673
6092,Fall Out Boy ,Young And Menace,1288501
6093,Logic ,Vaccine,1288024
6094,Kygo ,ID  Ultra Music Festival Anthem,1287841
6095,YoungBoy Never Broke Again ,Fine By Time,1287806
6096,Pitbull ,Drive You Crazy,1287540
6097,Trippie Redd ,So Alive,1287407
6098,Nicki Minaj ,Hard White,1287393
6099,Calvin Harris ,Nuh Ready Nuh Ready,1286992
6100,Eminem ,Stan,1286083
6101,"Tyler, The Creator ",November,1285895
6102,6LACK ,Let Her Go,1285401
6103,Logic ,Thank You (ft. Lucy Rose & The RattPack),1284164
6104,$uicideboy$ ,$uicideboy$ Were Better In 2015,1283855
6105,Drake ,Girls Love Beyoncé,1283574
6106,Logic ,Wannabe,1282807
6107,Tate McRae ,what would you do?,1281897
6108,Lana Del Rey ,White Dress,1281642
6109,BROCKHAMPTON ,BANKROLL,1281273
6110,Justin Timberlake ,Morning Light,1278378
6111,One Direction ,Ready to Run,1278271
6112,JAY,Z  Numb / Encore,1278209
6113,Busta Rhymes ,Look Over Your Shoulder,1277119
6114,YoungBoy Never Broke Again ,Thug Of Spades,1276723
6115,Ella Fitzgerald ,I've Got My Love To Keep Me Warm,1274347
6116,21 Savage ,letter 2 my momma,1273823
6117,Dolly Parton ,"Cuddle Up, Cozy Down Christmas",1273584
6118,Duran Duran ,Hungry Like the Wolf  2009 Remaster,1272443
6119,BTS ,Interlude : Shadow,1272377
6120,Oliver Tree ,Alien Boy,1272305
6121,Twenty One Pilots ,Good Day,1272077
6122,Polo G ,Zooted Freestyle,1271702
6123,Future ,Too Comfortable,1271185
6124,Roddy Ricch ,moved to miami,1270654
6125,Meek Mill ,Fuck That Check Up,1270388
6126,A Tribe Called Quest ,Kids...,1269866
6127,Cordae ,Kung Fu,1269509
6128,XXXTENTACION ,HEARTEATER,1269315
6129,Fujii Kaze ,死ぬのがいいわ,1269251
6130,Trippie Redd ,Supernatural,1268528
6131,Jung Kook ,Stay Alive (Prod. SUGA of BTS),1268123
6132,The Weeknd ,Nothing Compares  Bonus Track,1267630
6133,Future ,Touch The Sky,1267529
6134,TOOL ,Invincible,1267209
6135,Future ,Ain't Livin Right,1266253
6136,Janelle Monáe ,Make Me Feel,1265968
6137,Mac Miller ,Colors and Shapes,1265455
6138,Young Thug ,Climax,1263406
6139,Kevin Gates ,By My Lonely,1259797
6140,Summer Walker ,Switch A Nigga Out,1259796
6141,Maggie Rogers ,Love You For A Long Time,1259566
6142,Kid Rock ,All Summer Long,1259418
6143,Logic ,Street Dreams II,1257982
6144,George Ezra ,"White Christmas  Spotify Singles  Holiday, Recorded at Air Studios, London",1257222
6145,Tame Impala ,On Track,1256759
6146,Quavo ,GIVE IT TO EM,1256411
6147,Jon Bellion ,Woke The F*ck Up,1256125
6148,The Temptations ,My Girl,1255923
6149,David Kushner ,Miserable Man,1254914
6150,The Lumineers ,Angela,1253464
6151,Maren Morris ,GIRL,1251780
6152,Kygo ,Forever Yours  Avicii Tribute,1250454
6153,21 Savage ,Emergency,1250352
6154,Lizzo ,Grrrls,1249964
6155,Bryson Tiller ,Blowing Smoke,1246088
6156,Kendrick Lamar ,untitled 08 | 09.06.2014.,1245632
6157,YoungBoy Never Broke Again ,I Am Who They Say I Am,1245489
6158,Wiz Khalifa ,Something New,1244282
6159,21 Savage ,Nothin New,1242849
6160,Rex Orange County ,AMAZING,1240063
6161,Mac Miller ,Dunno,1239568
6162,Logic ,Out Of Sight,1239028
6163,The Lumineers ,WHERE WE ARE,1238737
6164,Dua Lipa ,Future Nostalgia,1236613
6165,Joyner Lucas ,Stranger Things,1235449
6166,Brett Eldredge ,A Holly Jolly Christmas,1234563
6167,XXXTENTACION ,#PROUDCATOWNERREMIX,1233489
6168,Isaiah Rashad ,Wat U Sed,1233332
6169,Justin Bieber ,Lifetime,1232955
6170,Miley Cyrus ,Gimme What I Want,1232866
6171,Shawn Mendes ,Particular Taste,1232085
6172,Lorde ,California,1231515
6173,Stevie Wonder ,"Signed, Sealed, Delivered (I'm Yours)",1231057
6174,Logic ,I Am The Greatest,1230949
6175,Beyoncé ,Pray You Catch Me,1230644
6176,Lauv ,Invisible Things,1229298
6177,One Direction ,Fool's Gold,1228788
6178,Run The Jewels ,ooh la la,1227627
6179,Miley Cyrus ,Night Crawling,1227593
6180,Migos ,Work Hard,1225694
6181,Shawn Mendes ,Why,1224592
6182,Playboi Carti ,New Tank,1224318
6183,Future ,Fresh Air,1223989
6184,Shawn Mendes ,Life Of The Party,1223862
6185,BTS ,Respect,1223568
6186,Kehlani ,Distraction,1222259
6187,Bon Iver ,666 ʇ,1220086
6188,PARTYNEXTDOOR ,Don't Know How,1219323
6189,Nicki Minaj ,Good Form,1218758
6190,6ix9ine ,DUMMY,1218665
6191,YoungBoy Never Broke Again ,Home Ain't Home,1218376
6192,David Bowie ,Heroes  1999 Remastered Version,1218374
6193,Robin Thicke ,Back Together,1217362
6194,Rae Sremmurd ,Chanel,1216114
6195,Lewis Capaldi ,when the party's over  Recorded at Spotify Studios NYC,1215556
6196,Cordae ,Today,1215407
6197,Trippie Redd ,Immortal,1215393
6198,Ty Dolla $ign ,Ex,1213442
6199,DJ Khaled ,On Everything,1211814
6200,BLACKPINK ,You Never Know,1211237
6201,Brent Faiyaz ,BAD LUCK,1210902
6202,Gucci Mane ,ICE,1209807
6203,Future ,One Of My,1209300
6204,Kodak Black ,Built My Legacy,1209031
6205,YoungBoy Never Broke Again ,Slime Mentality,1208696
6206,Tom Petty and the Heartbreakers ,Mary Jane's Last Dance,1207899
6207,Stray Kids ,MANIAC,1207733
6208,ZAYN ,dRuNk,1207171
6209,MUNA ,Winterbreak  Tiësto's Deep House Remix,1206223
6210,Sam Smith ,One Day At A Time,1205770
6211,The Beatles ,Here Comes The Sun  Remastered,1203913
6212,Playboi Carti ,Control,1203348
6213,Run The Jewels ,out of sight,1202619
6214,Meek Mill ,The Trillest,1202293
6215,Dreamville ,Sleep Deprived,1200213
6216,Martin Garrix ,No Sleep,1199220
6217,Lady Gaga ,Joanne,1199209
6218,Dj Ozuna ,,1198268
6219,Sean Kingston ,Eenie Meenie,1198266
6220,Tory Lanez ,Beauty In The Benz,1198228
6221,Melanie Martinez ,Lunchbox Friends,1197932
6222,Nicki Minaj ,I Lied,1197706
6223,Big Sean ,Intro,1197602
6224,Halsey ,I HATE EVERYBODY,1196860
6225,One Direction ,Girl Almighty,1196694
6226,Daniel Caesar ,SUPERPOSITION,1196144
6227,GASHI ,Disrespectful,1195754
6228,DJ Khaled ,SORRY NOT SORRY,1195012
6229,Selena Gomez ,Cut You Off,1193948
6230,Sam Hunt ,Hard To Forget,1193624
6231,Childish Gambino ,Boogieman,1192575
6232,Mustard ,On GOD,1191871
6233,Drake ,Draft Day,1191416
6234,Young Stoner Life ,Slatty,1191172
6235,21 Savage ,Dead People,1191060
6236,Logic ,Slave II,1189814
6237,Chris Brown ,High End,1189526
6238,Gunna ,Richard Millie Plain,1189390
6239,Swae Lee ,Hurt To Look,1189132
6240,Red Hot Chili Peppers ,Black Summer,1188186
6241,ScHoolboy Q ,Lies,1187456
6242,$uicideboy$ ,Avalon,1186726
6243,YG ,POWER,1185604
6244,Future ,200,1184623
6245,Trippie Redd ,UKA UKA,1183555
6246,Eminem ,Revival (Interlude),1183384
6247,Bon Iver ,715  CR∑∑KS,1182900
6248,YoungBoy Never Broke Again ,Drug Addiction,1182690
6249,Calvin Harris ,Obsessed,1182004
6250,Bad Bunny ,Otra Noche en Miami,1181569
6251,David Bowie ,Space Oddity  2009 Remastered Version,1181418
6252,Kris Wu ,Deserve,1181075
6253,Mumford & Sons ,Just Smoke,1180520
6254,DaBaby ,Turbo,1180398
6255,Future ,Drip on Me,1179938
6256,Logic ,Pardon My Ego,1178345
6257,Kristen Bell ,Some Things Never Change,1178044
6258,Koe Wetzel ,Creeps,1178010
6259,Dr. Dre ,"Nuthin' But A ""G"" Thang",1177901
6260,Tyga ,Feel Me,1177200
6261,Wale ,Poke It Out,1176083
6262,BLACKPINK ,DDUDU DDUDU,1174528
6263,Baby Keem ,issues,1174368
6264,Lil Yachty ,SELF MADE,1174318
6265,Offset ,Tats On My Face,1173310
6266,A$AP Rocky ,Wavybone,1172972
6267,5 Seconds of Summer ,What I Like About You  Studio Mix,1172679
6268,Summer Walker ,4th Baby Mama,1171994
6269,Justin Timberlake ,Midnight Summer Jam,1171141
6270,Nicki Minaj ,Itty Bitty Piggy,1169651
6271,Future ,Posted With Demons,1169407
6272,Juice WRLD ,Won’t Let Go,1168699
6273,Chance the Rapper ,Cocoa Butter Kisses,1168635
6274,Morgan Wallen ,Whatcha Think Of Country Now,1168069
6275,Kygo ,Freedom,1167877
6276,Lil Baby ,Social Distancing,1167758
6277,Don Toliver ,Way Bigger,1166292
6278,Machine Gun Kelly ,5150,1166176
6279,Juice WRLD ,Rider,1165914
6280,Lil Baby ,Still Hood,1165741
6281,Niall Horan ,Black And White,1165264
6282,Dreamville ,Rembrandt...Run It Back,1164835
6283,21 Savage ,Whole Lot,1164568
6284,Logic ,"The Adventures Of Stoney Bob (ft. Kajo, Slaydro, Big Lenbo)",1163054
6285,Run The Jewels ,yankee and the brave (ep. 4),1162760
6286,Liam Payne ,All I Want (For Christmas),1162307
6287,ScHoolboy Q ,Drunk,1162018
6288,B.o.B ,HeadBand,1161635
6289,Sabrina Carpenter ,A Nonsense Christmas,1161585
6290,Young Thug ,I'm Scared,1160287
6291,JID ,Raydar,1159289
6292,Mumford & Sons ,Monster,1158666
6293,Niall Horan ,Seeing Blind,1158075
6294,Donnie Trumpet & The Social Experiment ,Sunday Candy,1157771
6295,Rae Sremmurd ,Bedtime Stories,1157604
6296,Thomas Rhett ,Sixteen,1157081
6297,Playboi Carti ,Right Now,1156540
6298,Bing Crosby ,Hark! The Herald Angels Sing/It Came Upon A Midnight Clear  Remastered,1155314
6299,Twenty One Pilots ,Mulberry Street,1155067
6300,Playboi Carti ,Poke It Out,1154483
6301,Smokepurpp ,What I Please,1153949
6302,Polo G ,Don't Believe The Hype,1152229
6303,The 1975 ,Oh Caroline,1152177
6304,Eminem ,Heat,1151733
6305,Meek Mill ,Ambitionz,1151675
6306,Halsey ,Not Afraid Anymore,1151585
6307,Kodak Black ,Zombie,1150616
6308,Twenty One Pilots ,Lane Boy,1148908
6309,Trippie Redd ,Gore,1148345
6310,Migos ,Birthday,1146807
6311,ScHoolboy Q ,Tales,1145987
6312,Louis The Child ,Little Things,1145921
6313,Rick Ross ,Running the Streets,1145909
6314,Bryson Tiller ,I'm Ready For You,1145891
6315,Kendrick Lamar ,untitled 04 | 08.14.2014.,1145232
6316,Gucci Mane ,Big Booty,1144999
6317,Travis Scott ,90210,1142826
6318,Shakira ,She Wolf,1141908
6319,DaBaby ,AMAZING GRACE,1141302
6320,Bad Bunny ,La Romana,1141299
6321,The Low Down ,Just for the Night,1139970
6322,Tyga ,Goddamn,1139931
6323,Nas ,White Label,1138289
6324,A$AP Rocky ,Max B,1137363
6325,Chris Brown ,Anyway,1137287
6326,Nipsey Hussle ,Hussle & Motivate,1136281
6327,Bryson Tiller ,Things Change,1135574
6328,Pentatonix ,White Winter Hymnal,1135486
6329,Lorde ,Secrets from a Girl (Who's Seen it All),1135421
6330,No Name No Fame ,Swervin' In My Lane,1134877
6331,Unknown Artist ,Unknown Title,1134784
6332,Gorillaz ,Let Me Out,1134714
6333,Tom Petty ,Runnin' Down A Dream,1134466
6334,Autumn! ,One Way!,1134385
6335,Logic ,Limitless,1133951
6336,Chance the Rapper ,5 Year Plan,1133679
6337,SEB ,seaside_demo,1133480
6338,Joji ,NO FUN,1133256
6339,YNW Melly ,Thugged Out,1133210
